------------------省级复核，每天地区新增和 == 省级新增-----------------
北京,2月2日,地区新增核减累加值为-6,省级新增0
湖北,日期:1月18日,出院累计值5,卫健委累计值0
湖北,日期:1月18日,死亡累计值1,卫健委累计值0
湖北,日期:1月19日,确诊累计值77,卫健委累计值0
湖北,日期:1月19日,出院累计值1,卫健委累计值0
湖北,日期:1月19日,死亡累计值1,卫健委累计值0
湖北,日期:1月20日,确诊累计值72,卫健委累计值0
湖北,日期:1月20日,死亡累计值2,卫健委累计值0
湖北,日期:1月21日,确诊累计值105,卫健委累计值0
湖北,日期:1月21日,出院累计值3,卫健委累计值0
湖北,日期:1月21日,死亡累计值3,卫健委累计值0
湖北,日期:1月22日,确诊累计值69,卫健委累计值0
湖北,日期:1月22日,死亡累计值8,卫健委累计值0
湖北,日期:1月23日,确诊累计值105,卫健委累计值0
湖北,日期:1月23日,出院累计值3,卫健委累计值0
湖北,日期:1月23日,死亡累计值7,卫健委累计值0
湖北,日期:1月24日,确诊累计值180,卫健委累计值0
湖北,日期:1月24日,出院累计值1,卫健委累计值0
湖北,日期:1月24日,死亡累计值15,卫健委累计值0
湖北,日期:1月25日,确诊累计值323,卫健委累计值0
湖北,日期:1月25日,出院累计值10,卫健委累计值0
湖北,日期:1月25日,死亡累计值13,卫健委累计值0
湖北,日期:1月26日,确诊累计值371,卫健委累计值0
湖北,日期:1月26日,出院累计值2,卫健委累计值0
湖北,日期:1月26日,死亡累计值24,卫健委累计值0
湖北,日期:1月27日,确诊累计值1291,卫健委累计值0
湖北,日期:1月27日,出院累计值3,卫健委累计值0
湖北,日期:1月27日,死亡累计值24,卫健委累计值0
湖北,日期:1月28日,确诊累计值840,卫健委累计值0
湖北,日期:1月28日,出院累计值33,卫健委累计值0
湖北,日期:1月28日,死亡累计值25,卫健委累计值0
湖北,日期:1月29日,确诊累计值1032,卫健委累计值0
湖北,日期:1月29日,出院累计值10,卫健委累计值0
湖北,日期:1月29日,死亡累计值37,卫健委累计值0
湖北,日期:1月30日,确诊累计值1220,卫健委累计值0
湖北,日期:1月30日,出院累计值26,卫健委累计值0
湖北,日期:1月30日,死亡累计值42,卫健委累计值0
湖北,日期:1月31日,确诊累计值1347,卫健委累计值0
湖北,日期:1月31日,出院累计值50,卫健委累计值0
湖北,日期:1月31日,死亡累计值45,卫健委累计值0
湖北,日期:2月1日,确诊累计值1921,卫健委累计值0
湖北,日期:2月1日,出院累计值49,卫健委累计值0
湖北,日期:2月1日,死亡累计值45,卫健委累计值0
湖北,日期:2月2日,确诊累计值2103,卫健委累计值0
湖北,日期:2月2日,出院累计值80,卫健委累计值0
湖北,日期:2月2日,死亡累计值56,卫健委累计值0
湖北,日期:2月3日,确诊累计值2345,卫健委累计值0
湖北,日期:2月3日,出院累计值101,卫健委累计值0
湖北,日期:2月3日,死亡累计值64,卫健委累计值0
湖北,日期:2月4日,确诊累计值3156,卫健委累计值0
湖北,日期:2月4日,出院累计值125,卫健委累计值0
湖北,日期:2月4日,死亡累计值65,卫健委累计值0
湖北,日期:2月5日,确诊累计值2987,卫健委累计值0
湖北,日期:2月5日,出院累计值113,卫健委累计值0
湖北,日期:2月5日,死亡累计值70,卫健委累计值0
湖北,日期:2月6日,确诊累计值2447,卫健委累计值0
湖北,日期:2月6日,出院累计值184,卫健委累计值0
湖北,日期:2月6日,死亡累计值69,卫健委累计值0
湖北,日期:2月7日,确诊累计值2841,卫健委累计值0
湖北,日期:2月7日,出院累计值298,卫健委累计值0
湖北,日期:2月7日,死亡累计值81,卫健委累计值0
湖南,日期:1月21日,确诊累计值1,卫健委累计值0
湖南,日期:1月22日,确诊累计值8,卫健委累计值0
湖南,日期:1月23日,确诊累计值15,卫健委累计值0
湖南,日期:1月24日,确诊累计值19,卫健委累计值0
湖南,日期:1月25日,确诊累计值26,卫健委累计值0
湖南,日期:1月26日,确诊累计值31,卫健委累计值0
湖南,日期:1月27日,确诊累计值43,卫健委累计值0
湖南,日期:1月28日,确诊累计值78,卫健委累计值0
湖南,日期:1月29日,确诊累计值56,卫健委累计值0
湖南,日期:1月30日,确诊累计值55,卫健委累计值0
湖南,日期:1月30日,出院累计值2,卫健委累计值0
湖南,日期:1月31日,确诊累计值57,卫健委累计值0
湖南,日期:1月31日,出院累计值1,卫健委累计值0
湖南,日期:2月1日,确诊累计值74,卫健委累计值0
湖南,日期:2月1日,出院累计值5,卫健委累计值0
湖南,日期:2月2日,确诊累计值58,卫健委累计值0
湖南,日期:2月2日,出院累计值8,卫健委累计值0
湖南,日期:2月3日,确诊累计值72,卫健委累计值0
湖南,日期:2月3日,出院累计值6,卫健委累计值0
湖南,日期:2月4日,确诊累计值68,卫健委累计值0
湖南,日期:2月4日,出院累计值13,卫健委累计值0
湖南,日期:2月5日,确诊累计值50,卫健委累计值0
湖南,日期:2月5日,出院累计值21,卫健委累计值0
湖南,日期:2月6日,确诊累计值61,卫健委累计值0
湖南,日期:2月6日,出院累计值35,卫健委累计值0
湖南,日期:2月7日,确诊累计值31,卫健委累计值0
湖南,日期:2月7日,出院累计值28,卫健委累计值0
甘肃,日期:1月22日,确诊累计值2,卫健委累计值0
甘肃,日期:1月24日,确诊累计值2,卫健委累计值0
甘肃,日期:1月25日,确诊累计值3,卫健委累计值0
甘肃,日期:1月26日,确诊累计值7,卫健委累计值0
甘肃,日期:1月27日,确诊累计值5,卫健委累计值0
甘肃,日期:1月28日,确诊累计值5,卫健委累计值0
甘肃,日期:1月29日,确诊累计值2,卫健委累计值0
甘肃,日期:1月30日,确诊累计值5,卫健委累计值0
甘肃,日期:1月31日,确诊累计值6,卫健委累计值0
甘肃,日期:2月1日,确诊累计值5,卫健委累计值0
甘肃,日期:2月2日,确诊累计值11,卫健委累计值0
甘肃,日期:2月2日,出院累计值3,卫健委累计值0
甘肃,日期:2月3日,确诊累计值4,卫健委累计值0
甘肃,日期:2月4日,确诊累计值2,卫健委累计值0
甘肃,日期:2月4日,出院累计值1,卫健委累计值0
甘肃,日期:2月5日,确诊累计值5,卫健委累计值0
甘肃,日期:2月5日,出院累计值2,卫健委累计值0
甘肃,日期:2月6日,确诊累计值5,卫健委累计值0
甘肃,日期:2月6日,出院累计值3,卫健委累计值0
甘肃,日期:2月7日,确诊累计值4,卫健委累计值0
甘肃,日期:2月7日,死亡累计值1,卫健委累计值0
西藏,日期:1月29日,确诊累计值1,卫健委累计值0
贵州,日期:1月22日,确诊累计值3,卫健委累计值0
贵州,日期:1月24日,确诊累计值1,卫健委累计值0
贵州,日期:1月25日,确诊累计值1,卫健委累计值0
贵州,日期:1月26日,确诊累计值2,卫健委累计值0
贵州,日期:1月27日,确诊累计值2,卫健委累计值0
贵州,日期:1月28日,出院累计值1,卫健委累计值0
贵州,日期:1月29日,确诊累计值3,卫健委累计值0
贵州,日期:1月30日,确诊累计值3,卫健委累计值0
贵州,日期:1月31日,确诊累计值14,卫健委累计值0
贵州,日期:1月31日,出院累计值1,卫健委累计值0
贵州,日期:2月1日,确诊累计值9,卫健委累计值0
贵州,日期:2月2日,确诊累计值8,卫健委累计值0
贵州,日期:2月3日,确诊累计值10,卫健委累计值0
贵州,日期:2月4日,确诊累计值8,卫健委累计值0
贵州,日期:2月4日,出院累计值3,卫健委累计值0
贵州,日期:2月5日,确诊累计值5,卫健委累计值0
贵州,日期:2月5日,出院累计值1,卫健委累计值0
贵州,日期:2月5日,死亡累计值1,卫健委累计值0
贵州,日期:2月6日,确诊累计值8,卫健委累计值0
贵州,日期:2月7日,确诊累计值12,卫健委累计值0
辽宁,日期:1月22日,确诊累计值2,卫健委累计值0
辽宁,日期:1月23日,确诊累计值2,卫健委累计值0
辽宁,日期:1月24日,确诊累计值8,卫健委累计值0
辽宁,日期:1月25日,确诊累计值5,卫健委累计值0
辽宁,日期:1月26日,确诊累计值5,卫健委累计值0
辽宁,日期:1月27日,确诊累计值8,卫健委累计值0
辽宁,日期:1月28日,确诊累计值6,卫健委累计值0
辽宁,日期:1月29日,确诊累计值5,卫健委累计值0
辽宁,日期:1月29日,出院累计值1,卫健委累计值0
辽宁,日期:1月30日,确诊累计值4,卫健委累计值0
辽宁,日期:1月31日,确诊累计值15,卫健委累计值0
辽宁,日期:2月1日,确诊累计值4,卫健委累计值0
辽宁,日期:2月2日,确诊累计值6,卫健委累计值0
辽宁,日期:2月3日,确诊累计值4,卫健委累计值0
辽宁,日期:2月4日,确诊累计值7,卫健委累计值0
辽宁,日期:2月4日,出院累计值1,卫健委累计值0
辽宁,日期:2月5日,确诊累计值8,卫健委累计值0
辽宁,日期:2月5日,出院累计值2,卫健委累计值0
辽宁,日期:2月6日,确诊累计值6,卫健委累计值0
辽宁,日期:2月6日,出院累计值2,卫健委累计值0
辽宁,日期:2月7日,确诊累计值4,卫健委累计值0
辽宁,日期:2月7日,出院累计值1,卫健委累计值0
福建,日期:1月21日,确诊累计值1,卫健委累计值0
福建,日期:1月22日,确诊累计值4,卫健委累计值0
福建,日期:1月23日,确诊累计值5,卫健委累计值0
福建,日期:1月24日,确诊累计值8,卫健委累计值0
福建,日期:1月25日,确诊累计值17,卫健委累计值0
福建,日期:1月26日,确诊累计值24,卫健委累计值0
福建,日期:1月27日,确诊累计值21,卫健委累计值0
福建,日期:1月28日,确诊累计值9,卫健委累计值0
福建,日期:1月29日,确诊累计值19,卫健委累计值0
福建,日期:1月30日,确诊累计值19,卫健委累计值0
福建,日期:1月31日,确诊累计值24,卫健委累计值0
福建,日期:2月1日,确诊累计值15,卫健委累计值0
福建,日期:2月2日,确诊累计值20,卫健委累计值0
福建,日期:2月3日,确诊累计值15,卫健委累计值0
福建,日期:2月3日,出院累计值1,卫健委累计值0
福建,日期:2月4日,确诊累计值11,卫健委累计值0
福建,日期:2月4日,出院累计值6,卫健委累计值0
福建,日期:2月5日,确诊累计值10,卫健委累计值0
福建,日期:2月5日,出院累计值4,卫健委累计值0
福建,日期:2月6日,确诊累计值9,卫健委累计值0
福建,日期:2月7日,确诊累计值15,卫健委累计值0
福建,日期:2月7日,出院累计值5,卫健委累计值0
重庆,日期:1月21日,确诊累计值6,卫健委累计值0
重庆,日期:1月22日,确诊累计值3,卫健委累计值0
重庆,日期:1月23日,确诊累计值18,卫健委累计值0
重庆,日期:1月24日,确诊累计值30,卫健委累计值0
重庆,日期:1月25日,确诊累计值18,卫健委累计值0
重庆,日期:1月26日,确诊累计值35,卫健委累计值0
重庆,日期:1月27日,确诊累计值22,卫健委累计值0
重庆,日期:1月28日,确诊累计值15,卫健委累计值0
重庆,日期:1月29日,确诊累计值18,卫健委累计值0
重庆,日期:1月29日,出院累计值1,卫健委累计值0
重庆,日期:1月30日,确诊累计值41,卫健委累计值0
重庆,日期:1月31日,确诊累计值32,卫健委累计值0
重庆,日期:1月31日,死亡累计值1,卫健委累计值0
重庆,日期:2月1日,确诊累计值24,卫健委累计值0
重庆,日期:2月1日,出院累计值2,卫健委累计值0
重庆,日期:2月2日,确诊累计值38,卫健委累计值0
重庆,日期:2月2日,出院累计值4,卫健委累计值0
重庆,日期:2月2日,死亡累计值1,卫健委累计值0
重庆,日期:2月3日,确诊累计值37,卫健委累计值0
重庆,日期:2月3日,出院累计值2,卫健委累计值0
重庆,日期:2月4日,确诊累计值29,卫健委累计值0
重庆,日期:2月4日,出院累计值5,卫健委累计值0
重庆,日期:2月5日,确诊累计值23,卫健委累计值0
重庆,日期:2月5日,出院累计值1,卫健委累计值0
重庆,日期:2月6日,确诊累计值22,卫健委累计值0
重庆,日期:2月6日,出院累计值9,卫健委累计值0
重庆,日期:2月7日,确诊累计值15,卫健委累计值0
重庆,日期:2月7日,出院累计值7,卫健委累计值0
陕西,日期:1月22日,确诊累计值3,卫健委累计值0
陕西,日期:1月23日,确诊累计值2,卫健委累计值0
陕西,日期:1月24日,确诊累计值10,卫健委累计值0
陕西,日期:1月25日,确诊累计值7,卫健委累计值0
陕西,日期:1月26日,确诊累计值13,卫健委累计值0
陕西,日期:1月27日,确诊累计值11,卫健委累计值0
陕西,日期:1月28日,确诊累计值10,卫健委累计值0
陕西,日期:1月29日,确诊累计值7,卫健委累计值0
陕西,日期:1月30日,确诊累计值24,卫健委累计值0
陕西,日期:1月31日,确诊累计值16,卫健委累计值0
陕西,日期:2月1日,确诊累计值15,卫健委累计值0
陕西,日期:2月2日,确诊累计值12,卫健委累计值0
陕西,日期:2月3日,确诊累计值14,卫健委累计值0
陕西,日期:2月3日,出院累计值1,卫健委累计值0
陕西,日期:2月4日,确诊累计值23,卫健委累计值0
陕西,日期:2月4日,出院累计值1,卫健委累计值0
陕西,日期:2月5日,确诊累计值8,卫健委累计值0
陕西,日期:2月5日,出院累计值4,卫健委累计值0
陕西,日期:2月6日,确诊累计值11,卫健委累计值0
陕西,日期:2月6日,出院累计值5,卫健委累计值0
陕西,日期:2月7日,确诊累计值11,卫健委累计值0
陕西,日期:2月7日,出院累计值6,卫健委累计值0
青海,日期:1月25日,确诊累计值1,卫健委累计值0
青海,日期:1月26日,确诊累计值3,卫健委累计值0
青海,日期:1月27日,确诊累计值2,卫健委累计值0
青海,日期:1月30日,确诊累计值2,卫健委累计值0
青海,日期:1月31日,确诊累计值1,卫健委累计值0
青海,日期:2月2日,确诊累计值4,卫健委累计值0
青海,日期:2月3日,确诊累计值2,卫健委累计值0
青海,日期:2月4日,确诊累计值2,卫健委累计值0
青海,日期:2月5日,确诊累计值1,卫健委累计值0
青海,日期:2月5日,出院累计值3,卫健委累计值0
黑龙江,日期:1月22日,确诊累计值2,卫健委累计值0
黑龙江,日期:1月23日,确诊累计值2,卫健委累计值0
黑龙江,日期:1月23日,死亡累计值1,卫健委累计值0
黑龙江,日期:1月24日,确诊累计值5,卫健委累计值0
黑龙江,日期:1月25日,确诊累计值6,卫健委累计值0
黑龙江,日期:1月26日,确诊累计值6,卫健委累计值0
黑龙江,日期:1月27日,确诊累计值9,卫健委累计值0
黑龙江,日期:1月28日,确诊累计值7,卫健委累计值0
黑龙江,日期:1月29日,确诊累计值6,卫健委累计值0
黑龙江,日期:1月30日,确诊累计值16,卫健委累计值0
黑龙江,日期:1月30日,死亡累计值1,卫健委累计值0
黑龙江,日期:1月31日,确诊累计值21,卫健委累计值0
黑龙江,日期:2月1日,确诊累计值15,卫健委累计值0
黑龙江,日期:2月1日,出院累计值2,卫健委累计值0
黑龙江,日期:2月2日,确诊累计值23,卫健委累计值0
黑龙江,日期:2月3日,确诊累计值37,卫健委累计值0
黑龙江,日期:2月4日,确诊累计值35,卫健委累计值0
黑龙江,日期:2月4日,出院累计值2,卫健委累计值0
黑龙江,日期:2月5日,确诊累计值37,卫健委累计值0
黑龙江,日期:2月5日,出院累计值3,卫健委累计值0
黑龙江,日期:2月5日,死亡累计值1,卫健委累计值0
黑龙江,日期:2月6日,确诊累计值50,卫健委累计值0
黑龙江,日期:2月6日,出院累计值1,卫健委累计值0
黑龙江,日期:2月7日,确诊累计值19,卫健委累计值0
黑龙江,日期:2月7日,出院累计值4,卫健委累计值0
黑龙江,日期:2月7日,死亡累计值2,卫健委累计值0
